state,year,quater,total_amount,query,transacion_type,yearly_amount
goa,2022,3.0,19574265275.706333,Query 1,,
goa,2022,4.0,24924986371.339153,Query 1,,
goa,2023,1.0,35096965775.0,Query 1,,
goa,2023,2.0,38412206943.0,Query 1,,
goa,2023,3.0,37375179974.0,Query 1,,
goa,2023,4.0,44287671557.0,Query 1,,
goa,2024,1.0,45351900260.0,Query 1,,
goa,2024,2.0,47454830712.0,Query 1,,
goa,2024,3.0,45913528012.0,Query 1,,
goa,2024,4.0,56562589543.0,Query 1,,
gujarat,2018,1.0,7577982255.034049,Query 1,,
gujarat,2018,2.0,12162684771.641035,Query 1,,
gujarat,2018,3.0,17866404426.275486,Query 1,,
gujarat,2018,4.0,24830987102.7826,Query 1,,
gujarat,2019,1.0,35856080308.47694,Query 1,,
gujarat,2019,2.0,49320615219.26747,Query 1,,
gujarat,2019,3.0,59462694964.2678,Query 1,,
gujarat,2019,4.0,76690662054.91406,Query 1,,
gujarat,2020,1.0,86995076621.90312,Query 1,,
gujarat,2020,2.0,80387846359.49065,Query 1,,
gujarat,2020,3.0,111921752484.71222,Query 1,,
gujarat,2020,4.0,148393060112.43924,Query 1,,
gujarat,2021,1.0,183700780713.45038,Query 1,,
gujarat,2021,2.0,210162054552.11707,Query 1,,
gujarat,2021,3.0,272624626113.58826,Query 1,,
gujarat,2021,4.0,342382580053.6278,Query 1,,
gujarat,2022,1.0,392548092253.5479,Query 1,,
gujarat,2022,2.0,446798000976.8455,Query 1,,
gujarat,2022,3.0,497437502209.4494,Query 1,,
gujarat,2022,4.0,567918305336.5378,Query 1,,
gujarat,2023,1.0,597826188806.0,Query 1,,
gujarat,2023,2.0,645407208525.0,Query 1,,
gujarat,2023,3.0,707737036450.0,Query 1,,
gujarat,2023,4.0,795087199074.0,Query 1,,
gujarat,2024,1.0,871619464924.0,Query 1,,
gujarat,2024,2.0,910625046933.0,Query 1,,
gujarat,2024,3.0,963551388101.0,Query 1,,
gujarat,2024,4.0,1076014501422.0,Query 1,,
haryana,2018,1.0,6793511514.660398,Query 1,,
haryana,2018,2.0,11320414442.116419,Query 1,,
haryana,2018,3.0,16375139007.6277,Query 1,,
haryana,2018,4.0,25390876016.45593,Query 1,,
haryana,2019,1.0,34051655721.631634,Query 1,,
haryana,2019,2.0,42501539813.21621,Query 1,,
haryana,2019,3.0,52489119199.442024,Query 1,,
haryana,2019,4.0,69359719869.10129,Query 1,,
haryana,2020,1.0,81976214558.24408,Query 1,,
haryana,2020,2.0,80711264923.94069,Query 1,,
haryana,2020,3.0,109567950445.73079,Query 1,,
haryana,2020,4.0,159998504366.54178,Query 1,,
haryana,2021,1.0,168938301082.42834,Query 1,,
haryana,2021,2.0,200357354238.68405,Query 1,,
haryana,2021,3.0,240827092259.20917,Query 1,,
haryana,2021,4.0,309240599300.46063,Query 1,,
haryana,2022,1.0,341304042652.7771,Query 1,,
haryana,2022,2.0,395234035249.50635,Query 1,,
haryana,2022,3.0,428054494578.0264,Query 1,,
haryana,2022,4.0,490490659880.1036,Query 1,,
haryana,2023,1.0,591150623736.0,Query 1,,
haryana,2023,2.0,661742128636.0,Query 1,,
haryana,2023,3.0,677491980740.0,Query 1,,
haryana,2023,4.0,782270484600.0,Query 1,,
haryana,2024,1.0,806788219232.0,Query 1,,
haryana,2024,2.0,905444595600.0,Query 1,,
haryana,2024,3.0,923206681798.0,Query 1,,
haryana,2024,4.0,1031959359354.0,Query 1,,
himachal-pradesh,2018,1.0,628737806.3723378,Query 1,,
himachal-pradesh,2018,2.0,1183169301.3511195,Query 1,,
himachal-pradesh,2018,3.0,1754041432.8580287,Query 1,,
